event_url,round,Rank,Lane,Athlete,Nation,Result,Notes
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,1,2,Ebrahima Camara,The Gambia,10.29,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,2,3,Muhd Azeem Fahmi,Malaysia,10.42,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,3,4,Marc Brian Louis,Singapore,10.43,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,4,5,Sha Mahmood Noor Zahi,Afghanistan,10.64,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,5,6,Seco Camara,Guinea-Bissau,10.76,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,6,7,William Reed,Marshall Islands,11.29,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 1,7,8,Karalo Maibuca,Tuvalu,11.30,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,1,2,Davonte Howell,Cayman Islands,10.31,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,2,4,Sibusiso Matsenjwa,Eswatini,10.39,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,3,6,Didier Kiki,Benin,10.76 (.755),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,4,5,Hervé Toumandji,Central African Republic,10.76 (.760),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,5,7,Kenaz Kaniwete,Kiribati,11.29,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,6,8,Darko Pešić,Montenegro,11.85,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 2,—,3,Steven Sabino,Mozambique,DQ,TR 16.8
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,1,2,Noa Bibi,Mauritius,10.27,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,2,5,Franko Burraj,Albania,10.60 (.596),"Q,PB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,3,4,Favoris Muzrapov[it],Tajikistan,10.60 (.597),
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,4,3,Diu Chun Hei,Hong Kong,10.62,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,5,6,Melique García,Honduras,10.76,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,6,7,Rija Gardiner[de],Madagascar,10.82,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,7,9,Manuel Ataide,Timor-Leste,11.35,NR
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 3,8,8,Samer Al-Yafaee[de],Yemen,11.54,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,1,2,Christopher Borzor,Haiti,10.26,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,2,4,Marcos Santos,Angola,10.31,"Q,NR"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,3,3,Hachim Maaroufou,Comoros,10.44,q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,4,9,Taha Hussein Yaseen,Iraq,10.51,"q,PB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,5,5,Ibadulla Adam,Maldives,10.55,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,6,6,Shaun Gill,Belize,11.17,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,7,8,Scott Fiti,Federated States of Micronesia,11.61,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 4,8,7,Ahmed Essabai[de],Libya,11.89,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,1,3,Naquille Harris,Saint Kitts and Nevis,10.33,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,2,2,Lalu Muhammad Zohri,Indonesia,10.35,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,3,4,Fodé Sissoko,Mali,10.66,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,4,7,Joseph Green,Guam,10.85,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,5,6,Winzar Kakiouea,Nauru,11.15,
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,6,9,Remigio Santander,Equatorial Guinea,11.65,SB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,7,8,Maleselo Fukofuka,Tonga,12.11,PB
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 5,—,5,Dominique Mulamba,Democratic Republic of the Congo,10.54DQ[18],"q, SB"
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,1,2,Arturo Deliser,Panama,10.34,Q
https://en.wikipedia.org/wiki/Athletics_at_the_2024_Summer_Olympics_–_Men's_100_metres,Heat 6,2,4,Dylan Sicobo,Seychelles,10.51,Q
